#3D	Dreidimensional
#4D	Vierdimensional
A.	Arteria
Aa.	Arteriae
ADI	Autism Diagnostic Interview
ADOS	Autism Diagnostic Observation Schedule
AEP	Akustisch evozierte Potenziale
ALK	Anaplastic lymphoma kinase
ALL	Akute lymphatische Leukämie
AMDP	Arbeitsgemeinschaft für Methodik und Dokumentation in der Psychiatrie
AML	Akute myeloische Leukämie
APD	Ambulatory peritoneal dialysis
ARA-C	Arabinosylcytobin (Cytarabin)
#AV	Atrio-ventrikular
#AV	Arterio-venös
AZGP1	Alpha-2-glycoprotein 1, zinc-binding
BASDAI	Bath Ankylosing Spondylitis Disease Activity Index
BASFI	Bath Ankylosing Spondylitis Functional Index
BAT25	Bethesda A-tandem repeat 25
B-BEP	Beatmungsstatus/Beatmungsentwöhnungspotential
BCL2	B-cell CLL/lymphoma 2
BCR-ABL	Breakpoint cluster region – Abelson-Tyrosinkinase
BERA	Brainstem electric response audiometry
BIRC5	Baculoviral IAP repeat containing 5
BIS	Bispektraler Index
BRAF	Rapidly accelerated fibrosarcoma B-type
BSS	Beeinträchtigungs-Schwere-Score
BWS	Brustwirbelsäule
CAD	Computer assisted design
CAM	Computer assisted manufacture
CAPD	Continuous ambulatory peritoneal dialysis
CAVH	Continuous arteriovenous hemofiltration
CAVHDF	Continuous arteriovenous hemodiafiltration
CCM	Cardiac Contractility Modulation
CD274	Programmed cell death 1 ligand 1
CERA	Cortical evoked response audiometry (Spät-akustisch evozierte Potenziale)
CIONM	Kontinuierliches intraoperatives Neuromonitoring
CLL	Chronische lymphatische Leukämie
CMV	Zytomegalie-Virus
CNP	Continuous negative pressure
#CO	Kohlenmonoxid
CO2	Kohlendioxid
CP-Stent	Cheatham-Platinum-Stent
CpG	5'-C-phosphate-G-3'
CPM	Continuous passive motion (Motorschienenbehandlung)
CPAP	Continuous positive airway pressure
CPPV	Continuous positive pressure ventilation
CRT	Cardiac Resynchronization Therapy (Kardiale Resynchronisationstherapie)
CSP	Conduction System Pacing
CT	Computertomographie
CTC	Circulating tumor cells
CUP	Cancer of unknown primary
cVEMP	Zervikale vestibulär evozierte myogene Potenziale
CVVH	Continuous venovenous hemofiltration
CVVHD	Continuous venovenous hemodialysis
CVVHDF	Continuous venovenous hemodiafiltration
DACI	Direct Acoustic Cochlear Implant
DAS 28	Disease activity score 28
DDG	Deutsche Diabetes Gesellschaft
delins	Deletion and insertion
DFPP	Doppelfiltrationsplasmapherese
DHCR7	7-dehydrocholesterol reductase
DIEP	Deep inferior epigastric perforator
DIPI	Direkte intraperitoneale Insemination
DISYPS	Diagnostiksystem für psychische Störungen im Kindes- und Jugendalter
DNA	Deoxyribonucleic Acid
DOTA	1,4,7,10-Tetraazacyclododecane-1,4,7,10-tetraacetic acid
DSA	Digitale Subtraktionsangiographie
EBT	Elektronenstrahltomographie
ECCE	Extracapsular cataract extraction (Extrakapsuläre Extraktion der Linse)
ECLS	Extracorporeal life support
ECMES	Embrochage centro-medullaire élastique Stable
ECMO	Extrakorporale Membranoxygenation
EDTA	Ethylene diamine tetraacetic acid (Ethylendiamintetraessigsäure)
EDTMP	Ethylen-Diamin-Tetramethylen-Phosphonat
EEG	Elektroenzephalographie
EFTR	Endoscopic full-thickness resection (endoskopische transmurale Vollwandexzision)
EGFR	Epidermal growth factor receptor
EKG	Elektrokardiographie
EKT	Elektrokonvulsionstherapie
EMG	Elektromyographie
EMILOS	Endoscopic Mini- or Less-open Sublay
EML4	Echinoderm microtubule associated protein like 4
EOG	Elektrookulographie
ePTFE	Expandiertes Polytetrafluoroethylen
ERBB2	Erb-b2 receptor tyrosine kinase 2
ERC	Endoskopische retrograde Cholangiographie
ERCP	Endoskopische retrograde Cholangio-Pankreatikographie
ERG	Elektroretinographie
ERP	Endoskopische retrograde Pankreatikographie
ESD	Endoskopische submukosale Dissektion
ESIN	Elastisch stabile intramedulläre Nagelung
ESWL	Extrakorporale Stoßwellenlithotripsie
ET	Embryotransfer
eTEP	Enhanced-view total extraperitoneal
EVLT	Endovenöse Lasertherapie
EXIT	Ex utero intrapartum treatment
Exkl.	Exklusivum
FACS	Fluorescence-activated cell sorting
FAEP	Früh-akustisch evozierte Potenziale
FEIBA	Faktor-VIII-Inhibitor-Bypass-Aktivität
FFbH	Funktionsfragebogen Hannover
FFRmyo	Fraktionelle myokardiale Flussreserve
FIRM	Focal impulse and rotor modulation
FISH	Fluorescent in situ hybridization (Fluoreszenz-in-situ-Hybridisierung)
FR1 – FR4	Framework 1 - Framework 4
FSSEP	Früh-somatosensorisch evozierte Potenziale
#g	Gramm
GAF	Global assessment of functioning
G-DRG	German Diagnosis Related Groups
GBA	Geriatrisches Basisassessment
GBq	Gigabecquerel
GIFT	Intratubarer Gametentransfer
GKV	Verband der gesetzlichen Krankenkassen
GPOH	Gesellschaft für Pädiatrische Onkologie und Hämatologie
GvHD	Graft versus Host-Krankheit
Gy	Gray
HAART	Hochaktive antiretrovirale Therapie
HBO	Hyperbare Oxygenation
hdEEG	Hochauflösende Elektroenzephalographie
HDR	High-dose-rate
HER2	Human epidermal growth factor receptor 2
HFJV	High frequency jet ventilation
HFNC	High flow nasal cannula
HFOV	High frequency oscillatory ventilation
HFV	High frequency ventilation
HIFU	Hochintensiver fokussierter Ultraschall
HIPEC	Hypertherme intraperitoneale Chemotherapie
HI-Virus	Humanes Immundefizienz-Virus
Hinw.	Hinweis
HITOC	Hypertherme intrathorakale Chemotherapie
HLA	Humanes Leukozyten-Antigen
HNO	Hals Nasen Ohren
HSA	Human serum albumin
HSV-TK Mut2	Herpes-simplex-Virus-Typ-I-Thymidinkinase Mut2
HTS	High throughput sequencing (Hochdurchsatz-Sequenzierungsverfahren)
HWS	Halswirbelsäule
IBZM	[123I]-3-Jodo-6-methoxybenzamin
ICA	Immunhistochemische Analyse
ICD	Implantierbarer Kardioverter/Defibrillator
ICD-10-GM	Internationale statistische Klassifikation der Krankheiten und verwandter Gesundheitsprobleme, 10. Revision - German Modification -
ICE	Intrakardiale Echokardiographie
ICH	Immunhistochemische Analyse
IE	Internationale Einheiten
IGH	Immunoglobulin heavy locus
IGRT	Image-guided radiotherapy
IL6ST	Interleukin 6 signal transducer
IMA	Internal mammary artery (Arteria mammaria interna)
IMV	Intermittent mandatory ventilation
Inkl.	Inklusivum
IONM	Nicht kontinuierliches intraoperatives Neuromonitoring
IPD	Intermittent peritoneal dialysis
IPOM	Intraperitoneales Onlay-Mesh
IPPV	Intermittent positive pressure ventilation
IUD	Intrauterine device
IVF	In-vitro-Fertilisation
IVUS	Intravaskulärer Ultraschall der Koronargefäße
KEP	Kognitiv evozierte Potenziale
K-SADS	Schedule for Affective Disorders and Schizophrenia for School-Age Children
KHG	Krankenhausfinanzierungsgesetz
KHEntgG	Krankenhausentgeltgesetz
Ki67	Kiel 67 (Marker of proliferation)
KRAS	Kirsten rat sarcoma
KTP-Laser	Kalium-Titanyl-Phosphat-Laser
L-Dopa	L-3,4-Dihydroxyphenylalanin
LBO-Laser	Lithium-Triborat-Laser
LDL	Low density lipoproteins
LEER	Laterale erweiterte endopelvine Resektion
Lig.	Ligament
LWS	Lendenwirbelsäule
M.	Musculus
#mg	Milligramm
Mm.	Musculi
MAPCA	Multiple major aortopulmonary collateral artery
MBS	Mehrdimensionale Bereichsdiagnostik der Sozialpädiatrie
MDS	Myelodysplastisches Syndrom
MEG	Magnetenzephalographie
MEP	Motorisch evozierte Potenziale
MeV	Megaelektronenvolt
MGB	Mini Gastric Bypass
MGP	Matrix Gla protein
MIBG	Metaiodobenzylguanidin
MILOS	Mini- or Less-open Sublay
MLC	Multi-leaf collimator
MLH1	MutL homolog 1
MNA	Minimal Nutritional Assessment
MPFL	Mediales patellofemorales Ligament
MRCP	Magnetresonanz-Cholangiopankreatikographie
MRD	Minimal Residual Disease (Resttumorlast)
MRgFUS	Magnetresonanz-gesteuerter fokussierter Ultraschall
mRNA	Messenger ribonucleic acid
MRT	Magnetresonanztomographie
MSLT	Multipler Schlaflatenztest
MTX	Metothrexat
MWT	Multipler Wachbleibetest
N.	Nervus
n-BCA/NBCA	N-Butyl-2-Cyanoacrylat, Enbucrilat
NAVA	Neurally Adjusted Ventilatory Assist
NGS	Next generation sequencing (Hochdurchsatz-Sequenzierungsverfahren)
NIV	Non-invasive ventilation
NHL	Non-Hodgkin-Lymphom
NK-Zellen	Natural-Killer-Zellen
N.n.bez.	Nicht näher bezeichnet
Nn.	Nervi
NOTES	Natural orifice transluminal endoscopic surgery
NRS	Numeric rating scale
NRS	Nutritional Risk Screening
NSM	Nipple sparing mastectomy
NTMS	Navigierte transkranielle Magnetstimulation
NUTRIC	Nutrition Risk in Critically Ill
OAE	Otoakustische Emissionen
OAGB	One Anastomosis Gastric Bypass
OCT	Optische Kohärenztomographie
OLGB	Omega-Loop Gastric Bypass
#OP	Operation
OPD	Operationalisierte psychodynamische Diagnostik
OPD	Ostium protection device
oVEMP	Okuläre vestibulär evozierte myogene Potenziale
PBA	Palliativmedizinisches Basisassessment
PCA	Patientengesteuerte Analgesie
PCR	Polymerase chain reaction (Polymerase-Kettenreaktion)
PDL1	Programmed cell death 1 ligand 1
PDT	Photodynamische Therapie
PE	Probeexzision
PECLA	Pumpless extracorporeal lung assist
PEG	Perkutan-endoskopische Gastrostomie
PEG	Polyethylenglykol
PEJ	Perkutan-endoskopische Jejunostomie
PEP	Positive expiratory pressure
PEPP	Pauschalierende Entgelte Psychiatrie und Psychosomatik
PES	Pharyngeale elektrische Stimulation
pESS	Powered endoscopic sinonasal surgery
PET	Positronenemissionstomographie
PIC(C)	Peripherally inserted central venous catheter (Peripher eingeführter zentralvenöser Katheter)
PIPAC	Pressurized intra peritoneal aerosol chemotherapy (Intraperitoneale Druck- Aerosolchemotherapie)
PMR	Percutaneous transluminal transmyocardial laser revascularization
POCS	Perorale Cholangioskopie
POPS	Perorale Pankreatikoskopie
PSAP	Posteriore sagittale Anoproktoplastik
PSARP	Posteriore sagittale Anorektoplastik
PSMA	Prostataspezifisches Membranantigen
Psy-BaDo	Basisdokumentation in der Psychotherapie
PsychThG	Psychotherapeutengesetz
PTC	Perkutane transhepatische Cholangiographie
PTCA	Percutaneous transluminal coronary angioplasty (Perkutane transluminale Koronarangioplastie)
PTFE	Polytetrafluorethylen
PUVA	Photochemotherapie (Psoralen plus UV-A)
PVDF	Polyvinylidenfluorid
R.	Ramus, Ast
RBBP8	Retinoblastom binding protein 8, endonuclease
RA-PA-ECMO	ECMO-Modul mit Kanülen im rechten Vorhof und in der Pulmonalarterie
rh-TSH	Rekombinantes Thyreotropin
RNA	Ribonukleinsäure
RSV	Respiratory syncytial virus
rTMS	Repetitive transkranielle Magnetstimulation
RYGB	Roux-Y Gastric Bypass
SASI	Single Anastomosis Sleeve Ileal
SASI-TB	Single Anastomosis Sleeve Ileal – Transit Bipartition
SAPS	Simplified acute physiology score
S-CPPV	Synchronized continuous positive pressure ventilation
SCN1A	Sodium channel neuronal typ 1 alpha 
SeHCA-Test	Selen-Homotaurocholsäure-Test 
SEP	Somatisch evozierte Potenziale
sFlt-1	Lösliche, FMS-ähnliche Tyrosinkinase 1
SIB	Simultan-integrierter Boost
S-IPPV	Synchronized intermittent positive pressure ventilation
SIEP	Superficial inferior epigastric perforator
SIRT	Selektive intravaskuläre Radionuklidtherapie
SIS	Small intestinal submucosa
SLNE	Sentinel-Lymphonodektomie
SPECT	Single-Photon-Emissionscomputertomographie
SSEP	Somatosensorisch evozierte Potenziale
SSM	Skin sparing mastectomy
STC2	Stanniocalcin 2
STEP	Serielle transverse Enteroplastie
SUP	Selektive Ultraviolettphototherapie
sup.	superior
SZT	Stammzelltherapie
TAPP	Transabdominal präperitoneal
TB	Transit Bipartition
TDI	Tissue Doppler imaging
#TE	Transfusionseinheit
#TE	Therapieeinheit
TEA	Thrombendarteriektomie
TEE	Transösophageale Echokardiographie
TEN	Titanic elastic nail
TENS	Transkutane elektrische Nervenstimulation
TEP	Endoskopisch total extraperitoneal
TES	Totally endoscopic sublay
TFCC	Triangular fibrocartilage complex
TFG	Transfusionsgesetz
TGA	Transposition der großen Arterien
TIA	Transitorische ischämische Attacke
TIPP	Transinguinal präperitoneal
TIPS	Transjugular intrahepatic portosystemic shunt
TISS	Therapeutic Intervention Scoring System
TMLR	Transmyokardiale Laserrevaskularisation
TMMR	Totale mesometriale Resektion des Uterus
TOT	Trans obturator tape (Transobturatorisches Band)
TRAM	Transversaler Rectus-abdominis-Muskellappen
TRUS	Transrektale Ultraschallbildgebung
TUNA	Transurethrale Nadelablation
TVT	Tension free vaginal tape
TVT-O	Tension free vaginal tape obturator (TVT-Obturator)
UBE2E	Ubiquitin conjugating enzyme E2 E2
V.	Vena
Vv.	Venae
VAS	Visual Analogue Scale
VCV	Varicella-Zoster-Virus
Vv.	Venae
VEMP	Vestibulär evozierte myogene Potenziale
VEP	Visuell evozierte Potenziale
VEPTR	Vertikale expandierbare prothetische Titanrippe
VHI	Voice Handicap Index
VLAP	Visuell kontrollierte laserunterstützte Resektion
VNTR	Variable number of tandem repeats
WIT	Wasserinduzierte Thermotherapie
WPW	Wolff-Parkinson-White
YAG-Laser	Yttrium-Aluminium-Granat-Laser
ZIFT	Intratubärer Zygotentransfer
ZNS	Zentrales Nervensystem