A_df,B_df,similarity
0,0,0.7216290339294207
0,4,0.617235703646637
0,1,0.5923423665432606
1,0,0.6469392646972485
1,4,0.569625514168012
1,3,0.5433895342077337
2,1,0.5863418719579994
2,0,0.573713328120898
2,2,0.5731615712417442
3,0,0.6996221906233079
3,1,0.6979278666210076
3,4,0.6915998512705817
4,1,0.6407207286071404
4,2,0.629069705203179
4,4,0.613043462879253
5,4,0.6080746502617336
5,0,0.5954212565599568
5,1,0.5749765215687381
6,1,0.5414842673517277
6,0,0.536120607372498
6,2,0.5247298763018349
7,1,0.5777271554826695
7,2,0.5662167570398835
7,0,0.5654657242474886
8,4,0.5522453292184105
8,1,0.5505731901739557
8,0,0.5386394638504051
9,1,0.6071515292907537
9,2,0.5975244678740217
9,0,0.5967346857733479
10,1,0.6034955727299518
10,2,0.5868892118074654
10,4,0.5782632319677505
11,4,0.6350864693415111
11,1,0.6300853323494588
11,0,0.6263403018809663
12,0,0.5182653979426705
12,4,0.5077059269308657
12,1,0.5030556659603269
13,0,0.5254948205080177
13,1,0.5102175125540247
13,2,0.5031363519328287
14,1,0.5331023224367881
14,0,0.5270869894881589
14,2,0.5266071856725651
15,6,0.5511615085152187
15,8,0.5458395725156068
15,0,0.5351087342687466
16,1,0.5725753977326802
16,0,0.5632351771038666
16,2,0.563089358661258
17,1,0.5777271554826695
17,2,0.5662167570398835
17,0,0.5654657242474886
18,4,0.5522453292184105
18,1,0.5505731901739557
18,0,0.5386394638504051
19,1,0.6738537957179633
19,2,0.6664312545116995
19,0,0.6627192162661705
20,4,0.5897192416146458
20,0,0.5851115439446657
20,1,0.5626117051595937
21,1,0.5203893551363645
21,2,0.5166497164472674
21,4,0.5076711659983668
22,0,0.5288047435502392
22,1,0.5247822942920977
22,4,0.5090608886552888
23,1,0.5777271554826695
23,2,0.5662167570398835
23,0,0.5654657242474886
24,4,0.5522453292184105
24,1,0.5505731901739557
24,0,0.5386394638504051
25,4,0.6285192451982964
25,5,0.6095520508468781
25,1,0.5868461331872301
26,0,0.5182653979426705
26,4,0.5077059269308657
26,1,0.5030556659603269
27,1,0.5986845460954594
27,2,0.5861054925575124
27,0,0.5683774190504657
28,4,0.5485289938491111
28,2,0.5407490183853296
28,1,0.5406403794851685
29,4,0.5249121008238053
29,0,0.5128379645754656
29,1,0.5064323152985434
30,0,0.47214832074526863
30,4,0.46696804789166796
30,1,0.44616175959678783
31,0,0.6706865120212774
31,4,0.6122948842593321
31,2,0.6071602644535123
32,0,0.5300791129980782
32,4,0.4986788842883741
32,1,0.4921230328602647
33,4,0.5385237760565458
33,1,0.511988753003032
33,0,0.4959959826454613
34,4,0.5292262500250007
34,0,0.5269926028664746
34,2,0.5115893319075728
35,0,0.45639780950719566
35,7,0.44803200982443375
35,3,0.4442812418009837
36,0,0.5138273883058314
36,4,0.494718007540257
36,7,0.4752172915436013
37,6,0.4767590682567771
37,4,0.4749639240561917
37,0,0.47427614768477055
38,0,0.5311083483867476
38,6,0.5285523784400242
38,3,0.5280034261222124
39,3,0.5086642386323437
39,1,0.5086559105077308
39,0,0.5073468446761418
40,1,0.5345686093549589
40,4,0.5318161713789835
40,2,0.5214918259604526
41,6,0.45941898932396985
41,7,0.4508942136006186
41,4,0.4449216114141977
42,6,0.4593520024000689
42,7,0.45105632416067876
42,8,0.445614583131994
43,6,0.4822072706438102
43,3,0.4797658203853604
43,7,0.47261951511458467
44,3,0.48382624543392627
44,0,0.46969541345748417
44,1,0.4567972795471468
45,0,0.545856029281206
45,4,0.5355673416318771
45,1,0.5169866194119249
46,3,0.5039950780666381
46,7,0.5037410722207611
46,8,0.4951945048957179
47,3,0.5032580288837427
47,0,0.5022342359785994
47,6,0.4919977734423991
48,7,0.5851236838988374
48,8,0.5810613904401537
48,6,0.5682229824116434
49,6,0.5723754884518012
49,7,0.5714744674167501
49,8,0.5670646450930106
50,0,0.5670666243824656
50,4,0.5560868981450456
50,1,0.5180495849068666
51,4,0.5884703943166607
51,3,0.5524191484344041
51,1,0.5507903613062624
52,4,0.6080746502617336
52,0,0.5954212565599568
52,1,0.5749765215687381
53,1,0.573611930372823
53,0,0.565122329180481
53,2,0.5637640270032078
54,4,0.6080746502617336
54,0,0.5954212565599568
54,1,0.5749765215687381
55,4,0.5600106471419615
55,1,0.5476766695178555
55,2,0.5380727736948072
56,1,0.585412165807639
56,0,0.5834850716417581
56,2,0.5719197594468488
57,0,0.742353089021488
57,1,0.664485452032472
57,4,0.6639326672583324
58,0,0.5573162880180598
58,1,0.5085649908541533
58,4,0.5077355169466482
59,0,0.722445272605001
59,4,0.6699702162635054
59,1,0.6434581858615922
60,4,0.6285192451982964
60,5,0.6095520508468781
60,1,0.5868461331872301
61,4,0.547338647276671
61,0,0.5192097456346294
61,1,0.5146457688347515
62,4,0.6438226911579834
62,5,0.6255765536345306
62,6,0.6122695483233307
63,1,0.5898772112992026
63,0,0.5790780125457566
63,2,0.5763833941243878
64,6,0.5878773993997365
64,8,0.579001962741103
64,7,0.5727747744415532
65,7,0.5153719981781412
65,8,0.5126376020786687
65,6,0.5013329958381109
66,8,0.5705863597855418
66,7,0.5634019445728214
66,6,0.5611755619930732
67,4,0.637353424956
67,0,0.615931321446531
67,1,0.6119783578896698
68,4,0.6092803621415395
68,1,0.5786698035707694
68,0,0.5676793582055581
69,4,0.4997963757760051
69,1,0.4787117310891802
69,2,0.4661770533609161
70,4,0.5748930716575934
70,1,0.5624917962083718
70,2,0.5475901999520767
71,7,0.46877303046533997
71,8,0.46806839217525853
71,4,0.46214941508180096
72,4,0.6536427396779125
72,1,0.6319265047355189
72,2,0.6183752665059976
73,4,0.6058531312117476
73,0,0.5951536974246725
73,1,0.5664398994662938
74,0,0.5654248246107264
74,4,0.5627761251744545
74,5,0.5187510614930586
75,4,0.5772119392642221
75,1,0.5625805377577023
75,2,0.550242717929444
76,4,0.6310910266306732
76,5,0.6132891282074022
76,6,0.5876105712294803
77,4,0.5449256887342346
77,0,0.5253167355310022
77,7,0.5033280057901486
78,4,0.578130408019083
78,1,0.5548328957217064
78,2,0.5480229421115497
79,7,0.4798868741218344
79,8,0.47381305823953285
79,4,0.45556699491383484
80,4,0.6265878487920802
80,0,0.6093683088273281
80,1,0.6045777705326895
81,4,0.625506984682717
81,0,0.6096066578392618
81,1,0.5763273830753836
82,4,0.5321775341200949
82,0,0.5239313588878209
82,5,0.4988770935305468
83,4,0.5325045651168613
83,0,0.5175172494870346
83,3,0.5143896805502421
84,0,0.5800093649711497
84,4,0.5535759638243325
84,3,0.5333877884837741
85,3,0.4980373623427459
85,4,0.48842038490168166
85,1,0.4821572931024992
86,0,0.5601254680409324
86,4,0.5102261861269594
86,3,0.47377482402422044
87,0,0.8644756484692617
87,1,0.7724106973204843
87,2,0.7672210885528847
88,4,0.5436758702907433
88,0,0.5279509511241809
88,3,0.5020989557043876
89,4,0.5307402235154668
89,0,0.5157400771286222
89,6,0.5101977540151813
90,4,0.5483419254207986
90,3,0.5433658818435716
90,0,0.540193159775223
91,1,0.5549055069299875
91,4,0.5506927641309609
91,2,0.5400707627990662
92,4,0.5584522764682235
92,0,0.5513294706628179
92,6,0.5188974293085897
93,4,0.5607106825467929
93,0,0.5456102804969207
93,5,0.5182961789250107
94,4,0.5641507916634871
94,0,0.5532160389406423
94,3,0.5411889986444491
95,0,0.6367070302208191
95,4,0.5468033595583832
95,1,0.5385049516019977
96,0,0.523112343160971
96,3,0.4928089140816996
96,4,0.47661636459195966
97,4,0.5321178954560312
97,0,0.5320270016921819
97,6,0.5254588905069751
98,0,0.5499486134143394
98,4,0.5204635358731879
98,1,0.511518268442581
